Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Michigan,Flint,1,1,2020,30.2
North America,US,Michigan,Grand Rapids,1,1,2020,28.6
North America,US,Michigan,Lansing,1,1,2020,28.6
North America,US,Michigan,Sault Ste Marie,1,1,2020,27.4
North America,US,Minnesota,Duluth,1,1,2020,14.5
North America,US,Minnesota,Minneapolis St. Paul,1,1,2020,20.5
North America,US,Mississippi,Jackson,1,1,2020,42.4
North America,US,Mississippi,Tupelo,1,1,2020,43.6
North America,US,Missouri,Kansas City,1,1,2020,37.5
North America,US,Missouri,Springfield,1,1,2020,38.1
North America,US,Missouri,St Louis,1,1,2020,41.6
North America,US,Montana,Billings,1,1,2020,40.4
North America,US,Montana,Great Falls,1,1,2020,42.2
North America,US,Montana,Helena,1,1,2020,37.3
North America,US,Nebraska,Lincoln,1,1,2020,31.7
North America,US,Nebraska,North Platte,1,1,2020,22.5
North America,US,Nebraska,Omaha,1,1,2020,31.1
North America,US,Nevada,Reno,1,1,2020,42.3
North America,US,Nevada,Las Vegas,1,1,2020,44.5
North America,US,New Hampshire,Concord,1,1,2020,32.7
North America,US,New Jersey,Atlantic City,1,1,2020,41.1
North America,US,New Jersey,Newark,1,1,2020,39.6
North America,US,New Mexico,Albuquerque,1,1,2020,32.8
North America,US,New York,Albany,1,1,2020,36.0
North America,US,New York,Buffalo,1,1,2020,31.2
North America,US,New York,New York City,1,1,2020,39.8
North America,US,New York,Rochester,1,1,2020,31.0
North America,US,New York,Syracuse,1,1,2020,32.9
North America,US,North Carolina,Asheville,1,1,2020,41.1
North America,US,North Carolina,Charlotte,1,1,2020,44.9
North America,US,North Carolina,Greensboro,1,1,2020,43.0
North America,US,North Carolina,Raleigh Durham,1,1,2020,45.4
North America,US,North Dakota,Bismarck,1,1,2020,29.8
North America,US,North Dakota,Fargo,1,1,2020,17.8
North America,US,Ohio,Akron Canton,1,1,2020,30.4
North America,US,Ohio,Cincinnati,1,1,2020,37.9
North America,US,Ohio,Cleveland,1,1,2020,31.6
North America,US,Ohio,Columbus,1,1,2020,35.5
North America,US,Ohio,Dayton,1,1,2020,36.8
North America,US,Ohio,Toledo,1,1,2020,31.5
North America,US,Ohio,Youngstown,1,1,2020,29.7
North America,US,Oklahoma,Oklahoma City,1,1,2020,40.2
North America,US,Oklahoma,Tulsa,1,1,2020,43.7
North America,US,Oregon,Eugene,1,1,2020,51.2
North America,US,Oregon,Medford,1,1,2020,43.5
North America,US,Oregon,Portland,1,1,2020,51.5
North America,US,Oregon,Salem,1,1,2020,50.5
North America,US,Pennsylvania,Allentown,1,1,2020,37.8
North America,US,Pennsylvania,Erie,1,1,2020,30.5
North America,US,Pennsylvania,Philadelphia,1,1,2020,40.7
North America,US,Pennsylvania,Pittsburgh,1,1,2020,31.9
North America,US,Pennsylvania,Wilkes Barre,1,1,2020,33.5
North America,US,Rhode Island,Rhode Island,1,1,2020,37.9
North America,US,South Carolina,Charleston,1,1,2020,51.5
North America,US,South Carolina,Columbia,1,1,2020,47.7
North America,US,South Dakota,Rapid City,1,1,2020,33.7
North America,US,South Dakota,Sioux Falls,1,1,2020,24.8
North America,US,Tennessee,Chattanooga,1,1,2020,43.0
North America,US,Tennessee,Knoxville,1,1,2020,40.9
North America,US,Tennessee,Memphis,1,1,2020,43.1
North America,US,Tennessee,Nashville,1,1,2020,42.3
North America,US,Texas,Abilene,1,1,2020,48.0
North America,US,Texas,Amarillo,1,1,2020,40.6
North America,US,Texas,Austin,1,1,2020,53.6
North America,US,Texas,Brownsville,1,1,2020,64.4
North America,US,Texas,Corpus Christi,1,1,2020,58.0
North America,US,Texas,Dallas Ft Worth,1,1,2020,47.3
North America,US,Texas,El Paso,1,1,2020,43.5
North America,US,Texas,Houston,1,1,2020,51.9
North America,US,Texas,Lubbock,1,1,2020,43.5
North America,US,Texas,Midland Odessa,1,1,2020,42.7
North America,US,Texas,San Angelo,1,1,2020,49.3
North America,US,Texas,San Antonio,1,1,2020,52.5
North America,US,Texas,Waco,1,1,2020,48.9
North America,US,Texas,Wichita Falls,1,1,2020,43.5
North America,US,Utah,Salt Lake City,1,1,2020,32.2
North America,US,Vermont,Burlington,1,1,2020,33.8
North America,US,Virginia,Norfolk,1,1,2020,48.2
North America,US,Virginia,Richmond,1,1,2020,44.7
