id_rosstat,indicator,vozr,grup_2,migr,mest,nazsostv,region,mun_level,munr,municipality,oktmo,mun_type,year,value,unit,period
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2010,237,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2011,289,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2012,242,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2013,273,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2014,277,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2015,264,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2016,231,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2017,225,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2018,190,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2019,191,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ивнянский муниципальный район,Ивнянский муниципальный район,14638000,10,2020,152,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2010,438,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2011,417,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2012,418,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2013,446,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2014,463,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2015,409,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2016,398,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2017,363,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2018,335,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2019,312,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Корочанский муниципальный район,Корочанский муниципальный район,14640000,10,2020,326,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2010,129,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2011,108,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2012,123,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2013,125,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2014,112,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2015,90,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2016,96,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2017,96,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2018,87,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2019,90,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красненский муниципальный район,Красненский муниципальный район,14641000,10,2020,69,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2010,364,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2011,375,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2012,338,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2013,371,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2014,337,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2015,321,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2016,297,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2017,257,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2018,259,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2019,253,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Красногвардейский муниципальный район,Красногвардейский муниципальный район,14642000,10,2020,205,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2010,189,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2011,192,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2012,210,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2013,192,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2014,193,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2015,194,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2016,189,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2017,164,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2018,139,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2019,147,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Краснояружский муниципальный район,Краснояружский муниципальный район,14643000,10,2020,140,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2010,286,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2011,330,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2012,313,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2013,344,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2014,348,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2015,298,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2016,344,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2017,253,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2018,250,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2019,242,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Прохоровский муниципальный район,Прохоровский муниципальный район,14646000,10,2020,215,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2010,451,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2011,401,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2012,470,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2013,410,чел,Значение показателя за год
